,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
438,988,-999.0,-999.0,-999.0,19931230_000000,1864,171,-156.55224,37.63908,O002,1440000.0,93.79104,510.55631,,,,1203.8579,,71.11102,364,,
440,989,1174.0,2643.0,2113.0,19931231_000000,341,341,-149.34185,35.59569,F001,1440000.0,122.63262,502.38277,0.90602,0.66197,0.0,735.79905,11.35141,87.3182,365,,
441,990,1172.0,1936.0,2069.0,19940101_000000,342,607,-142.82284,35.674,F001,1440000.0,148.70864,502.696,0.81882,0.44595,0.0,731.44255,21.26674,130.52226,1,1994-01-01,4 days
442,991,602.0,1594.0,715.0,19940102_000000,343,343,-144.19308,33.71235,F001,1440000.0,143.22767,494.84939,0.85322,0.70753,0.0,633.06556,26.606,71.39674,2,,
443,993,-999.0,-999.0,-999.0,19940104_000000,1865,172,-130.39395,38.75783,O001,1440000.0,198.42422,515.0313,,,,636.05537,,92.3453,4,,
444,994,-999.0,-999.0,-999.0,19940105_000000,1429,610,-157.13873,42.17124,F001,1440000.0,91.44509,528.68497,,,,799.04612,,57.34577,5,1994-01-05,4 days
445,995,-999.0,-999.0,-999.0,19940106_000000,344,344,-154.56241,37.17655,F001,1440000.0,101.75034,508.70621,0.91545,0.20432,0.0,740.73526,8.01277,64.74807,6,,
447,1004,-999.0,2314.0,-999.0,19940115_000000,345,615,-157.63462,38.91834,F001,1440000.0,89.46154,515.67337,0.8516,0.49342,0.0,822.42188,20.94576,63.11886,15,1994-01-15,6 days
448,1005,1630.0,3230.0,2345.0,19940116_000000,346,346,-150.31494,37.69264,F001,1440000.0,118.74026,510.77056,0.86551,0.90294,0.0,820.65191,17.69638,96.10402,16,,
449,1006,706.0,2446.0,919.0,19940117_000000,347,347,-144.06241,44.01348,F001,1440000.0,143.75037,536.05391,0.90956,0.26343,0.0,702.36352,7.13885,115.73094,17,,
450,1010,-999.0,-999.0,-999.0,19940121_000000,1869,176,-128.31082,40.47716,O001,1440000.0,206.7567,521.90864,,,,691.48013,,63.73129,21,,
451,1016,-999.0,-999.0,-999.0,19940127_000000,348,348,-153.12589,42.54869,F001,1440000.0,107.49644,530.19477,0.72181,0.1146,0.0,620.04073,36.43614,75.25047,27,,
452,1017,553.0,919.0,1070.0,19940128_000000,349,349,-145.18819,36.83148,F001,1440000.0,139.24723,507.32593,0.83054,0.18074,0.0,668.11889,14.59185,100.72239,28,,
453,1018,-999.0,-999.0,-999.0,19940129_000000,350,621,-144.06439,47.20972,F001,1440000.0,143.74243,548.83889,0.74148,0.16052,0.0,737.59274,24.67634,118.94841,29,1994-01-29,14 days
454,1020,-999.0,-999.0,-999.0,19940131_000000,1871,178,-151.45317,48.75067,O001,1440000.0,114.18733,555.0027,,,,626.07102,,72.90181,31,,
455,1027,-999.0,-999.0,-999.0,19940207_000000,1430,94,-152.92808,46.5723,F001,1440000.0,108.28767,546.28919,,,,585.04659,,73.17446,38,,
456,1028,-999.0,-999.0,-999.0,19940208_000000,1872,179,-118.52007,27.92787,O001,1440000.0,245.91974,471.7115,,,,850.79009,,68.41039,39,,
457,1037,174.0,1136.0,1154.0,19940217_000000,351,351,-127.48703,34.02325,F001,1440000.0,210.05189,496.09299,1.0,0.86268,0.0,938.90522,2.07624,86.23102,48,,
458,1043,-999.0,1624.0,-999.0,19940223_000000,352,352,-157.65497,32.40614,F001,1440000.0,89.38012,489.62456,0.74579,0.1229,0.0,901.14854,23.53057,58.13189,54,,
459,1045,-999.0,-999.0,-999.0,19940225_000000,1431,95,-137.1402,35.94037,F001,1440000.0,171.4392,503.76146,,,,706.55496,,103.1997,56,,
461,1054,660.0,1003.0,2390.0,19940306_000000,355,355,-146.14014,35.7789,F001,1440000.0,135.43944,503.11562,0.87078,0.47458,0.0,846.29036,16.49214,89.86662,65,,
462,1055,629.0,1088.0,1237.0,19940307_000000,356,356,-140.86786,48.48316,F001,1440000.0,156.52857,553.93265,0.85147,0.32576,0.0,576.36459,37.57597,74.09334,66,,
464,1059,1688.0,2334.0,2188.0,19940311_000000,357,357,-150.2036,39.10977,F001,1440000.0,119.18562,516.43906,0.93564,0.55531,0.0,801.36803,9.03126,90.77329,70,,
465,1060,1705.0,3044.0,2270.0,19940312_000000,358,358,-140.05194,40.41913,F001,1440000.0,159.79223,521.67652,0.89693,0.99621,0.0,723.54098,10.56587,77.07649,71,,
466,1061,-999.0,-999.0,-999.0,19940313_000000,1435,99,-131.23531,46.71508,F001,1440000.0,195.05878,546.86031,,,,622.19767,,57.27275,72,,
468,1066,-999.0,-999.0,-999.0,19940318_000000,1436,100,-147.55934,48.41357,F001,1440000.0,129.76264,553.65428,,,,602.6718,,97.52398,77,,
472,1087,-999.0,-999.0,-999.0,19941209_000000,1437,647,-147.43063,44.15086,F001,1440000.0,130.2775,536.60343,,,,716.43349,,96.54473,343,1994-12-09,267 days
473,1089,229.0,484.0,767.0,19941211_000000,360,360,-143.28246,43.43635,F001,1440000.0,146.87015,533.74539,0.79688,0.16736,0.0,942.16089,19.60058,123.86212,345,,
474,1090,-999.0,-999.0,-999.0,19941212_000000,1438,102,-132.73015,38.77577,F001,1440000.0,189.07939,515.10306,,,,610.21173,,108.19814,346,,
475,1091,89.0,650.0,772.0,19941213_000000,361,650,-148.05461,38.56187,F001,1440000.0,127.78156,514.24749,0.91719,0.38923,0.0,735.84037,11.01996,58.63486,347,1994-12-13,4 days
476,1095,847.0,1973.0,1501.0,19941217_000000,364,364,-135.15304,42.70035,F001,1440000.0,179.38785,530.8014,0.93032,0.61776,0.0,760.31989,9.89332,99.51857,351,,
477,1096,1714.0,2392.0,2163.0,19941218_000000,365,365,-153.63227,39.88665,F001,1440000.0,105.47092,519.5466,0.94038,0.98576,0.0,857.91956,5.8043,58.71761,352,,
478,1098,561.0,1622.0,1262.0,19941220_000000,367,367,-134.262,34.80433,F001,1440000.0,182.952,499.21733,0.88613,0.34578,0.0,752.0788,13.85015,94.08904,354,,
479,1099,1541.0,1765.0,1801.0,19941221_000000,368,368,-153.61768,41.67942,F001,1440000.0,105.52927,526.71768,0.86043,0.52941,0.0,1079.68397,16.79005,69.6428,355,,
480,1100,1452.0,2589.0,2825.0,19941222_000000,369,369,-139.73043,39.1423,F001,1440000.0,161.0783,516.56921,0.92131,0.55118,0.0,877.57285,10.08718,162.78967,356,,
481,1103,1926.0,2680.0,2270.0,19941225_000000,370,659,-150.03145,40.12938,F001,1440000.0,119.87419,520.51751,0.92491,0.76929,0.0,879.51755,7.93544,106.68603,359,1994-12-25,6 days
482,1106,-999.0,-999.0,-999.0,19941228_000000,372,372,-150.21383,38.1247,F001,1440000.0,119.14468,512.4988,0.87817,0.67558,0.0,832.75726,15.77955,122.09973,362,,
483,1108,-999.0,-999.0,-999.0,19941230_000000,373,373,-140.05123,45.39712,F001,1440000.0,159.79509,541.58848,0.76834,0.15781,0.0,720.57419,45.35408,86.81178,364,,
484,1109,-999.0,-999.0,-999.0,19941231_000000,1439,103,-151.59731,39.48913,F001,1440000.0,113.61077,517.95652,,,,673.07959,,65.06843,365,,
486,1111,-999.0,-999.0,-999.0,19950102_000000,374,374,-137.53674,34.71908,F001,1440000.0,169.85306,498.87633,0.90459,0.28223,0.0,822.0694,12.3957,90.40061,2,,
490,1117,3355.0,3953.0,3880.0,19950108_000000,379,670,-142.2466,35.35008,F001,1440000.0,151.01362,501.40033,0.95807,0.66481,0.0,1095.03142,6.13445,143.64678,8,1995-01-08,4 days
491,1118,1866.0,4016.0,3187.0,19950109_000000,380,380,-137.99895,36.08228,F001,1440000.0,168.00422,504.32911,0.80015,0.17416,0.0,962.879,48.4415,155.09417,9,,
492,1119,1619.0,3630.0,2042.0,19950110_000000,381,381,-127.36573,33.40924,F001,1440000.0,210.53708,493.63696,0.8458,0.86902,0.0,911.72544,31.04017,80.46031,10,,
493,1122,1900.0,2213.0,2677.0,19950113_000000,384,384,-134.60754,32.7628,F001,1440000.0,181.56983,491.05121,0.94325,0.62987,0.0,759.84606,8.033,121.81661,13,,
494,1125,1081.0,-999.0,1810.0,19950116_000000,385,676,-154.06343,39.42107,F001,1440000.0,103.74626,517.68429,0.81157,0.49907,0.0,1026.51565,19.15039,63.11954,16,1995-01-16,4 days
495,1144,1268.0,2784.0,2502.0,19950204_000000,396,396,-145.8868,35.44928,F001,1440000.0,136.45279,501.79711,0.99077,0.5947,0.0,812.46727,3.15066,120.33491,35,,
496,1145,1137.0,3255.0,1604.0,19950205_000000,397,397,-134.0968,42.28023,F001,1440000.0,183.61282,529.12094,0.86056,0.67197,0.0,666.05319,18.86972,107.11566,36,,
497,1146,882.0,1344.0,1212.0,19950206_000000,398,398,-149.53289,35.11033,F001,1440000.0,121.86846,500.4413,0.82826,0.19732,0.0,685.77651,17.40928,66.60075,37,,
498,1147,1290.0,2144.0,1896.0,19950207_000000,399,694,-141.46466,29.07627,F001,1440000.0,154.14134,476.30506,0.83152,0.23862,0.0,849.77679,31.73831,69.43903,38,1995-02-07,5 days
500,1150,-999.0,-999.0,-999.0,19950210_000000,1882,189,-157.07271,32.61579,O001,1440000.0,91.70916,490.46315,,,,823.79012,,64.74542,41,,
501,1151,-999.0,-999.0,-999.0,19950211_000000,1883,190,-153.94707,43.47363,O001,1440000.0,104.21174,533.8945,,,,638.09339,,75.78554,42,,
502,1154,-999.0,-999.0,-999.0,19950214_000000,401,401,-127.61374,24.81573,F001,1440000.0,209.54505,459.26292,0.95134,0.53869,0.0,728.9662,7.30551,85.41512,45,,
503,1156,-999.0,-999.0,-999.0,19950216_000000,1442,106,-150.99644,41.64586,F001,1440000.0,116.01423,526.58344,,,,615.07969,,78.24699,47,,
504,1157,1028.0,2168.0,1531.0,19950217_000000,402,700,-150.6699,33.31925,F001,1440000.0,117.3204,493.27702,0.84184,0.86689,0.0,711.83604,23.87389,79.61969,48,1995-02-17,10 days
505,1159,1779.0,3480.0,3345.0,19950219_000000,404,404,-139.5583,35.8058,F001,1440000.0,161.76678,503.2232,0.97718,0.55661,0.0,824.82112,4.41525,174.03957,50,,
506,1161,-999.0,-999.0,-999.0,19950221_000000,1884,191,-155.06265,31.79462,O001,1440000.0,99.74941,487.17849,,,,774.15523,,67.41616,52,,
507,1172,-999.0,-999.0,-999.0,19950304_000000,1885,192,-147.39764,27.4857,O001,1440000.0,130.40942,469.94279,,,,659.9327,,77.18359,63,,
510,1176,965.0,3089.0,3047.0,19950308_000000,405,405,-129.30358,30.66036,F001,1440000.0,202.78568,482.64142,0.79099,0.19732,0.0,744.62753,54.84436,88.4548,67,,
511,1177,2235.0,3456.0,3105.0,19950309_000000,406,406,-139.80874,30.83638,F001,1440000.0,160.76505,483.34551,0.85542,0.63525,0.0,643.80622,29.00299,70.32241,68,,
513,1179,993.0,1238.0,1171.0,19950311_000000,408,408,-123.93803,28.42465,F001,1440000.0,224.24789,473.69859,0.98828,0.75944,0.0,774.08532,2.71972,85.62765,70,,
514,1180,1717.0,2378.0,2681.0,19950312_000000,409,409,-153.5925,31.01382,F001,1440000.0,105.63,484.05529,0.87417,0.67619,0.0,1039.32994,16.1909,76.65289,71,,
515,1181,1291.0,2595.0,2182.0,19950313_000000,410,712,-134.67579,37.93762,F001,1440000.0,181.29683,511.75047,0.84119,0.33356,0.0,828.67254,29.94425,111.75201,72,1995-03-13,8 days
518,1187,400.0,1423.0,470.0,19950319_000000,413,413,-153.88384,35.41282,F001,1440000.0,104.46464,501.65128,0.84756,0.26588,0.0,846.48073,19.79504,59.84974,78,,
519,1192,-999.0,-999.0,-999.0,19950324_000000,1890,718,-155.01062,39.13771,O001,1440000.0,99.95751,516.55083,,,,646.07989,,70.60452,83,1995-03-24,7 days
520,1196,-999.0,-999.0,-999.0,19950328_000000,1443,107,-142.68038,40.04145,F001,1440000.0,149.2785,520.1658,,,,646.76768,,71.45997,87,,
521,1205,-999.0,-999.0,-999.0,19951207_000000,414,414,-148.33999,29.88203,F001,1440000.0,126.64006,479.52811,0.81366,0.50506,0.0,807.69698,24.45701,84.25909,341,,
522,1207,2387.0,4638.0,3322.0,19951209_000000,415,415,-150.47372,37.61023,F001,1440000.0,118.10511,510.44091,0.84301,0.67687,0.0,956.4641,19.53648,108.64707,343,,
523,1208,4442.0,6205.0,5716.0,19951210_000000,416,724,-140.41948,36.55173,F001,1440000.0,158.32207,506.20692,0.99608,0.88947,0.0,1042.8507,1.75821,151.08778,344,1995-12-10,258 days
524,1210,3580.0,5419.0,5169.0,19951212_000000,417,417,-138.31765,32.36569,F001,1440000.0,166.72941,489.46277,0.96351,0.78746,0.0,889.77181,6.11687,170.05649,346,,
525,1211,-999.0,-999.0,-999.0,19951213_000000,1444,108,-125.40568,32.13889,F001,1440000.0,218.37726,488.55556,,,,716.7757,,121.83168,347,,
526,1212,-999.0,-999.0,-999.0,19951214_000000,418,727,-148.64454,39.68017,F001,1440000.0,125.42182,518.72068,0.83148,0.30725,0.0,741.32354,28.46501,90.25502,348,1995-12-14,4 days
527,1214,1976.0,2550.0,2381.0,19951216_000000,420,420,-147.47405,36.89645,F001,1440000.0,130.10381,507.58578,0.91584,0.70824,0.0,1002.68545,10.73202,115.29755,350,,
528,1215,827.0,1437.0,1438.0,19951217_000000,421,421,-135.3276,42.37221,F001,1440000.0,178.68959,529.48885,0.84902,0.24078,0.0,818.57985,15.59291,78.24298,351,,
529,1216,965.0,1008.0,1172.0,19951218_000000,422,422,-155.03173,42.87864,F001,1440000.0,99.87307,531.51458,0.95103,0.73512,0.0,842.21221,6.94997,67.36427,352,,
530,1218,1357.0,2521.0,1565.0,19951220_000000,423,732,-151.23228,34.43934,F001,1440000.0,115.07089,497.75735,0.84367,0.77014,0.0,901.23621,20.31391,78.29818,354,1995-12-20,5 days
531,1221,-999.0,-999.0,-999.0,19951223_000000,425,425,-146.08612,32.78237,F001,1440000.0,135.65551,491.12949,0.84766,0.6433,0.0,843.94256,17.19998,104.6967,357,,
532,1223,1395.0,2031.0,1924.0,19951225_000000,426,426,-149.43657,32.69703,F001,1440000.0,122.25371,490.78812,0.8778,0.60883,0.0,750.48278,15.74556,99.30676,359,,
533,1224,477.0,625.0,2069.0,19951226_000000,427,427,-134.03658,40.54723,F001,1440000.0,183.85369,522.18892,0.91906,0.55776,0.0,791.8897,10.02229,68.02678,360,,
534,1226,2725.0,3633.0,3558.0,19951228_000000,428,739,-152.72208,37.17694,F001,1440000.0,109.11166,508.70776,0.83213,0.79842,0.0,1219.01881,21.6525,75.23985,362,1995-12-28,4 days
535,1227,3486.0,4484.0,4229.0,19951229_000000,429,429,-145.57726,39.68156,F001,1440000.0,137.69097,518.72626,0.92432,0.73031,0.0,1063.69949,9.79623,142.04952,363,,
536,1228,2771.0,4783.0,4461.0,19951230_000000,430,430,-143.11772,38.57029,F001,1440000.0,147.52913,514.28118,0.98842,0.83537,0.0,955.23152,3.27934,150.91315,364,,
537,1229,2862.0,4004.0,4098.0,19951231_000000,431,431,-148.12067,33.98606,F001,1440000.0,127.51734,495.94426,0.87428,0.75415,0.0,1040.04672,14.78279,139.62234,365,,
538,1230,1970.0,3434.0,2720.0,19960101_000000,432,432,-138.86428,39.43618,F001,1440000.0,164.54288,517.74472,0.82439,0.41214,0.0,869.67058,26.80955,131.30303,1,,
539,1231,-999.0,-999.0,-999.0,19960102_000000,433,433,-135.69758,45.20167,F001,1440000.0,177.20967,540.80667,0.93042,0.67636,0.0,734.37225,9.18772,110.47549,2,,
540,1234,1172.0,3084.0,1831.0,19960105_000000,434,745,-151.18414,34.21307,F001,1440000.0,115.26345,496.85226,0.85347,0.5418,0.0,848.59718,16.21579,90.38289,5,1996-01-05,8 days
541,1237,-999.0,-999.0,-999.0,19960108_000000,1445,109,-131.58189,33.62662,F001,1440000.0,193.67244,494.50649,,,,718.63184,,78.49065,8,,
542,1239,2663.0,3818.0,3392.0,19960110_000000,436,436,-150.79072,38.30952,F001,1440000.0,116.83711,513.2381,0.96374,0.63051,0.0,931.61842,4.11057,123.42875,10,,
543,1241,485.0,759.0,1287.0,19960112_000000,438,438,-131.2469,46.1726,F001,1440000.0,195.01238,544.6904,0.89253,0.24506,0.0,856.96379,13.40525,89.05745,12,,
544,1244,-999.0,-999.0,-999.0,19960115_000000,1896,753,-150.8632,33.70017,O001,1440000.0,116.54718,494.80067,,,,816.28626,,113.07264,15,1996-01-15,4 days
545,1247,674.0,981.0,973.0,19960118_000000,440,440,-144.5709,33.78867,F001,1440000.0,141.71639,495.1547,0.84565,0.58444,0.0,723.1658,27.54305,60.53674,18,,
546,1252,-999.0,-999.0,-999.0,19960123_000000,441,756,-156.50875,41.33942,F001,1440000.0,93.96499,525.35769,0.75218,0.15467,0.0,894.01431,23.94956,71.84001,23,1996-01-23,7 days
547,1254,-999.0,-999.0,-999.0,19960125_000000,1447,111,-151.49482,36.39115,F001,1440000.0,114.02073,505.56459,,,,634.21771,,58.17214,25,,
548,1258,-999.0,-999.0,-999.0,19960129_000000,1897,759,-140.20441,31.25108,O001,1440000.0,159.18237,485.00432,,,,858.90531,,59.90296,29,1996-01-29,5 days
549,1259,-999.0,-999.0,-999.0,19960130_000000,1898,205,-132.06054,30.88039,O001,1440000.0,191.75784,483.52157,,,,761.30703,,83.56912,30,,
550,1260,-999.0,-999.0,-999.0,19960131_000000,1448,112,-152.44108,31.49124,F001,1440000.0,110.23567,485.96497,,,,934.19161,,85.08886,31,,
552,1261,539.0,2560.0,674.0,19960201_000000,443,443,-144.38594,29.15335,F001,1440000.0,142.45624,476.61338,0.91397,0.5957,0.0,1100.73604,9.29379,114.27942,32,,
555,1267,3935.0,4219.0,4885.0,19960207_000000,447,447,-141.74569,38.77571,F001,1440000.0,153.01725,515.10284,0.95478,0.74296,0.0,875.10303,6.56018,178.48958,38,,
556,1268,2493.0,3175.0,3032.0,19960208_000000,448,448,-131.55899,40.60055,F001,1440000.0,193.76404,522.4022,0.83111,0.80145,0.0,836.28202,24.74698,129.83103,39,,
557,1270,1460.0,1873.0,1942.0,19960210_000000,449,449,-146.44399,38.89006,F001,1440000.0,134.22404,515.56024,0.88191,0.97971,0.0,947.51874,15.13087,159.74618,41,,
558,1271,444.0,1743.0,481.0,19960211_000000,450,450,-142.81407,30.1443,F001,1440000.0,148.7437,480.57722,0.88909,0.42126,0.0,718.92706,13.31024,96.53227,42,,
559,1272,1095.0,2337.0,1465.0,19960212_000000,451,771,-136.64774,36.75533,F001,1440000.0,173.40903,507.02133,0.8742,0.52709,0.0,699.27693,16.0925,86.77222,43,1996-02-12,6 days
561,1275,-999.0,-999.0,-999.0,19960215_000000,1899,206,-127.69334,24.31305,O001,1440000.0,209.22663,457.2522,,,,812.2041,,57.87319,46,,
562,1279,1067.0,1941.0,1280.0,19960219_000000,453,774,-135.72922,29.84834,F001,1440000.0,177.0831,479.39335,0.87931,0.81786,0.0,593.59793,12.93166,60.70931,50,1996-02-19,7 days
564,1281,-999.0,-999.0,-999.0,19960221_000000,1450,114,-135.8818,26.14994,F001,1440000.0,176.4728,464.59974,,,,633.45857,,115.13518,52,,
565,1285,-999.0,-999.0,-999.0,19960225_000000,454,454,-151.42703,51.80105,F001,1440000.0,114.29188,567.20419,0.84588,0.83125,0.0,683.64022,24.17471,97.88534,56,,
566,1287,-999.0,-999.0,-999.0,19960227_000000,455,778,-157.38901,44.19484,F001,1440000.0,90.44395,536.77937,0.86561,0.71401,0.0,734.84333,17.91626,87.13407,58,1996-02-27,8 days
567,1288,-999.0,-999.0,-999.0,19960228_000000,1901,208,-155.3738,40.77019,O001,1440000.0,98.50478,523.08074,,,,799.44368,,142.15462,59,,
568,1290,-999.0,-999.0,-999.0,19960302_000000,1902,209,-131.07959,40.00802,O001,1440000.0,195.68164,520.03209,,,,704.35724,,68.92824,62,,
569,1293,-999.0,-999.0,-999.0,19960305_000000,1451,115,-151.42976,24.46963,F001,1440000.0,114.28096,457.8785,,,,772.88634,,56.70638,65,,
570,1296,2601.0,3879.0,3153.0,19960308_000000,456,456,-137.40029,30.24203,F001,1440000.0,170.39886,480.96812,0.84785,0.54694,0.0,856.84851,19.31504,92.85072,68,,
571,1297,981.0,1454.0,1454.0,19960309_000000,457,457,-129.59803,43.90289,F001,1440000.0,201.6079,535.61157,0.9182,0.57861,0.0,624.93268,10.24333,78.09211,69,,
572,1299,-999.0,-999.0,-999.0,19960311_000000,1452,784,-148.24245,41.58569,F001,1440000.0,127.03022,526.34278,,,,612.91196,,106.25945,71,1996-03-11,13 days
573,1305,643.0,879.0,1334.0,19960317_000000,461,461,-151.73506,40.10672,F001,1440000.0,113.05977,520.42689,0.97813,0.70498,0.0,709.96015,4.26275,62.77606,77,,
574,1310,-999.0,-999.0,-999.0,19960322_000000,1904,790,-149.69501,31.93432,O001,1440000.0,121.21996,487.73727,,,,693.31805,,64.27654,82,1996-03-22,6 days
577,1313,-999.0,-999.0,-999.0,19960325_000000,1907,214,-150.40108,43.10384,O001,1440000.0,118.39567,532.41535,,,,625.31073,,80.75327,85,,
578,1317,-999.0,-999.0,-999.0,19960329_000000,1453,117,-148.00845,42.88412,F001,1440000.0,127.96622,531.53649,,,,641.10069,,62.18891,89,,
579,1325,-999.0,-999.0,-999.0,19961207_000000,1908,215,-136.09009,35.3125,O001,1440000.0,175.63966,501.25,,,,605.5441,,58.59143,342,,
580,1327,1505.0,2109.0,2012.0,19961209_000000,462,462,-152.34864,45.93384,F001,1440000.0,110.60545,543.73536,0.85024,0.51045,0.0,692.67751,19.19337,66.59785,344,,
581,1328,2972.0,3730.0,4136.0,19961210_000000,463,463,-147.7179,40.06844,F001,1440000.0,129.12838,520.27376,0.82524,0.45376,0.0,804.29234,25.23036,104.65045,345,,
582,1329,-999.0,-999.0,-999.0,19961211_000000,1454,118,-133.63508,36.71636,F001,1440000.0,185.45967,506.86544,,,,812.1257,,144.72281,346,,
584,1335,1090.0,2223.0,1948.0,19961217_000000,465,465,-142.55287,41.39616,F001,1440000.0,149.78851,525.58465,0.93259,0.4103,0.0,713.62644,9.70589,121.42351,352,,
587,1345,-999.0,-999.0,-999.0,19961227_000000,469,807,-154.11809,30.72398,F001,1440000.0,103.52764,482.89594,0.89392,1.0,0.0,1199.49771,11.99827,99.59776,362,1996-12-27,5 days
588,1346,2900.0,4096.0,3438.0,19961228_000000,470,470,-149.30067,27.53749,F001,1440000.0,122.79731,470.14997,0.87746,0.88877,0.0,1193.24974,15.30654,104.65954,363,,
589,1347,2643.0,4000.0,3866.0,19961229_000000,471,471,-140.39522,33.53021,F001,1440000.0,158.41912,494.12082,0.77814,0.6315,0.0,1015.59596,25.10112,122.25542,364,,
591,1349,6846.0,8191.0,8022.0,19961231_000000,473,473,-138.48647,32.45594,F001,1440000.0,166.0541,489.82375,0.8804,0.81138,0.0,912.73607,13.3375,184.1874,366,,
592,1350,6040.0,8204.0,6273.0,19970101_000000,474,812,-138.79595,32.09288,F001,1440000.0,164.81618,488.37153,0.92788,0.77336,0.0,1086.96917,9.78905,158.97561,1,1997-01-01,5 days
593,1351,3235.0,4460.0,3770.0,19970102_000000,475,475,-138.54132,28.92014,F001,1440000.0,165.83472,475.68057,0.83209,0.81031,0.0,785.28317,18.87976,184.36192,2,,
594,1352,829.0,1290.0,1066.0,19970103_000000,476,476,-125.71653,31.41359,F001,1440000.0,217.13388,485.65437,0.94045,0.85974,0.0,671.62111,4.38296,95.27327,3,,
597,1357,2226.0,3670.0,4157.0,19970108_000000,477,477,-149.81082,40.2745,F001,1440000.0,120.75673,521.098,0.80866,0.45296,0.0,1060.01536,28.06809,132.28424,8,,
598,1358,1670.0,2161.0,1757.0,19970109_000000,478,478,-139.58327,49.47658,F001,1440000.0,161.66693,557.90634,0.90786,0.55209,0.0,912.24518,11.8365,90.88837,9,,
599,1359,1782.0,2164.0,3141.0,19970110_000000,479,819,-144.39939,42.03213,F001,1440000.0,142.40243,528.12852,0.94697,0.92652,0.0,867.39421,4.13637,141.3305,10,1997-01-10,9 days
600,1361,1530.0,1870.0,2261.0,19970112_000000,481,481,-150.04738,40.77965,F001,1440000.0,119.81048,523.1186,0.85479,0.31176,0.0,915.57008,18.50394,111.14415,12,,
601,1364,2156.0,2302.0,2786.0,19970115_000000,483,483,-154.83414,35.52671,F001,1440000.0,100.66345,502.10682,0.83747,0.4617,0.0,971.06929,20.14105,66.90696,15,,
602,1368,-999.0,-999.0,-999.0,19970119_000000,1455,119,-126.27642,35.44129,F001,1440000.0,214.89432,501.76517,,,,647.69661,,58.64338,19,,
603,1370,-999.0,-999.0,-999.0,19970121_000000,1914,221,-146.7701,25.87712,O001,1440000.0,132.91959,463.50849,,,,797.94776,,73.96168,21,,
604,1371,-999.0,-999.0,-999.0,19970122_000000,1915,828,-134.22212,29.17386,O001,1440000.0,183.11151,476.69544,,,,739.26771,,62.96483,22,1997-01-22,4 days
605,1373,1720.0,2175.0,2167.0,19970124_000000,486,486,-137.26214,31.66739,F001,1440000.0,170.95145,486.66955,0.86195,0.54345,0.0,989.48945,15.02519,100.29399,24,,
606,1374,1070.0,2018.0,1451.0,19970125_000000,487,487,-134.36275,36.80615,F001,1440000.0,182.54899,507.22461,0.74034,0.27758,0.0,721.48105,26.69065,113.71773,25,,
607,1378,3963.0,5474.0,4783.0,19970129_000000,488,488,-151.07439,30.13014,F001,1440000.0,115.70243,480.52058,0.84156,0.85093,0.0,1101.34389,28.19752,87.79819,29,,
608,1379,3634.0,5113.0,4308.0,19970130_000000,489,489,-141.05529,34.82691,F001,1440000.0,155.77883,499.30765,0.89078,0.73828,0.0,1073.72792,14.36131,139.55561,30,,
609,1380,766.0,1301.0,1256.0,19970131_000000,490,490,-130.26385,40.23114,F001,1440000.0,198.94461,520.92457,0.85222,0.55957,0.0,840.27537,18.13346,91.79443,31,,
610,1382,1933.0,2453.0,3154.0,19970202_000000,491,491,-151.05594,40.4347,F001,1440000.0,115.77623,521.73878,0.89934,0.66735,0.0,1098.22587,13.35996,114.22777,33,,
611,1383,508.0,1014.0,1386.0,19970203_000000,492,492,-138.8587,41.26905,F001,1440000.0,164.56522,525.0762,0.84387,0.61144,0.0,856.163,21.14091,109.04611,34,,
612,1384,1247.0,1778.0,1546.0,19970204_000000,493,493,-154.78074,42.2065,F001,1440000.0,100.87703,528.82599,0.81107,0.35321,0.0,843.78035,27.80774,110.76279,35,,
613,1385,1393.0,1661.0,2862.0,19970205_000000,494,494,-142.5406,42.23392,F001,1440000.0,149.83758,528.93566,0.83245,0.78206,0.0,816.82154,23.96999,104.57983,36,,
615,1392,-999.0,1974.0,-999.0,19970212_000000,1917,224,-154.51029,39.07839,O001,1440000.0,101.95883,516.31355,,,,1104.29507,,65.82723,43,,
616,1393,155.0,1016.0,791.0,19970213_000000,496,496,-141.47007,41.28853,F001,1440000.0,154.11973,525.1541,0.93991,0.37697,0.0,810.27691,6.91565,85.71241,44,,
617,1394,-999.0,-999.0,-999.0,19970214_000000,497,497,-156.1004,42.20944,F001,1440000.0,95.5984,528.83777,0.81467,0.57823,0.0,788.78222,21.8414,64.3707,45,,
619,1398,1323.0,1557.0,1638.0,19970218_000000,498,498,-144.57259,41.04442,F001,1440000.0,141.70964,524.17768,0.92616,0.76817,0.0,679.23209,7.49912,60.37074,49,,
620,1399,291.0,822.0,812.0,19970219_000000,499,499,-129.1706,43.14308,F001,1440000.0,203.31761,532.57233,0.89872,0.44507,0.0,774.23978,13.10449,68.26168,50,,
621,1402,1727.0,2693.0,2670.0,19970222_000000,500,846,-143.89719,40.77791,F001,1440000.0,144.41122,523.11163,0.85092,0.44061,0.0,628.52033,18.06731,97.74508,53,1997-02-22,6 days
