,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
43,106,-999.0,-999.0,-999.0,19860318_000000,1346,10,-146.82178,38.32073,F001,1440000.0,132.71289,513.28291,,,,771.23337,,94.7988,77,,
44,109,-999.0,-999.0,-999.0,19860321_000000,1707,14,-128.17311,48.78433,O001,1440000.0,207.30754,555.13733,,,,631.68927,,67.26079,80,,
45,112,-999.0,-999.0,-999.0,19860324_000000,1347,11,-127.32979,40.70053,F001,1440000.0,210.68085,522.80213,,,,650.64477,,57.66176,83,,
46,113,-999.0,-999.0,-999.0,19860325_000000,1708,15,-145.72522,38.98045,O001,1440000.0,137.09912,515.92181,,,,677.86553,,72.57812,84,,
47,114,-999.0,-999.0,-999.0,19860326_000000,1348,12,-135.02988,40.22715,F001,1440000.0,179.88049,520.90861,,,,582.54651,,58.133,85,,
48,125,-999.0,-999.0,-999.0,19861207_000000,1709,16,-153.68585,34.8101,O001,1440000.0,105.25661,499.24041,,,,647.51523,,71.76265,341,,
49,126,1675.0,2568.0,2553.0,19861208_000000,54,54,-148.66266,46.91485,F001,1440000.0,125.34934,547.65939,0.89829,0.66907,0.0,690.45352,11.94548,97.08757,342,,
50,127,2204.0,3246.0,2998.0,19861209_000000,55,55,-143.13629,40.635,F001,1440000.0,147.45484,522.54001,0.95463,0.67252,0.0,866.29292,6.9723,152.34502,343,,
51,129,352.0,691.0,564.0,19861211_000000,56,86,-153.44351,37.12349,F001,1440000.0,106.22597,508.49395,0.83884,0.21997,0.0,1169.96579,18.19448,72.21627,345,1986-12-11,269 days
52,130,352.0,1015.0,930.0,19861212_000000,57,57,-147.98705,35.38621,F001,1440000.0,128.05179,501.54482,0.90241,0.82857,0.0,895.9479,11.86138,103.94274,346,,
53,131,-999.0,-999.0,-999.0,19861213_000000,1349,13,-137.96441,43.36398,F001,1440000.0,168.14237,533.45593,,,,671.86369,,95.40361,347,,
54,134,536.0,977.0,893.0,19861216_000000,58,58,-144.14672,41.05238,F001,1440000.0,143.41311,524.20953,0.81366,0.44533,0.0,679.37346,25.68028,91.174,350,,
56,139,-999.0,-999.0,-999.0,19861221_000000,61,61,-141.32774,37.39909,F001,1440000.0,154.68905,509.59637,0.9524,0.54184,0.0,772.24594,6.79979,114.48207,355,,
57,142,-999.0,-999.0,-999.0,19861224_000000,1713,20,-155.23001,39.51234,O001,1440000.0,99.07998,518.04935,,,,1151.96161,,57.06719,358,,
58,143,1487.0,2528.0,2263.0,19861225_000000,62,62,-145.04111,39.68871,F001,1440000.0,139.83556,518.75486,0.84335,0.33613,0.0,759.07871,19.01148,116.26322,359,,
59,145,139.0,1447.0,2334.0,19861227_000000,64,64,-147.3972,36.79102,F001,1440000.0,130.41121,507.16408,0.82602,0.33172,0.0,838.2089,31.31436,104.65416,361,,
61,148,510.0,1067.0,884.0,19861230_000000,66,66,-147.60428,38.53014,F001,1440000.0,129.58289,514.12057,0.8629,0.31584,0.0,745.22779,17.74418,118.89666,364,,
63,150,670.0,1631.0,1256.0,19870101_000000,68,104,-142.16645,38.69687,F001,1440000.0,151.3342,514.78748,0.91253,0.37584,0.0,895.39302,11.90925,134.61026,1,1987-01-01,4 days
64,151,-999.0,-999.0,-999.0,19870102_000000,1715,22,-147.89698,34.90536,O001,1440000.0,128.41206,499.62144,,,,839.05746,,60.07715,2,,
66,153,-999.0,-999.0,-999.0,19870104_000000,1717,24,-157.43007,44.18117,O001,1440000.0,90.27974,536.72467,,,,750.83991,,97.12638,4,,
67,154,-999.0,-999.0,-999.0,19870105_000000,1350,108,-150.76646,37.45219,F001,1440000.0,116.93417,509.80878,,,,699.95632,,95.2048,5,1987-01-05,4 days
68,156,1256.0,2055.0,1518.0,19870107_000000,70,70,-148.30161,41.8979,F001,1440000.0,126.79354,527.59158,0.83532,0.59611,0.0,970.00413,31.02716,112.50171,7,,
69,157,1131.0,2160.0,1971.0,19870108_000000,71,71,-138.14788,47.72191,F001,1440000.0,167.40849,550.88764,0.81258,0.31157,0.0,761.10959,23.91491,121.80224,8,,
